Lambda_m,f,b_m,h_m,lambda_m,theta_rad,theta_deg,eta0_RCWA_TE,etam1_RCWA_TE,Tsum,Rsum,energy_sum,neff0_TE,neff1_TE,delta_neff_TE,phi0_TE,phi1_TE,delta_phi_TE,sin_phi0_TE,cos_phi0_TE,sin_phi1_TE,cos_phi1_TE,sin_dphi_TE,cos_dphi_TE,eta0_SMM_TE,etam1_SMM_TE,res_eta0_TE,res_etam1_TE,overlap_mode0_order0_TE,overlap_mode0_orderm1_TE,overlap_mode1_order0_TE,overlap_mode1_orderm1_TE,overlap_mode0_order1_TE,overlap_mode1_order1_TE,status
1.05828212658345e-06,0.516359126776524,5.46453634765831e-07,1.46074317724263e-06,1.064e-06,0.526721004677567,30.1788905489151,0.125114175586847,0.838543466445867,0.963657642032715,0.0363423579672865,1,1.30844952763287,1.02755027908982,0.280899248543049,11.2867545757492,8.8637028554788,2.42305172027035,-0.957905702103121,0.287083029589573,0.532096779211605,-0.846683540381314,0.658287035797197,-0.752767014753795,0.123616492623103,0.876383507376898,0.00149768296374481,-0.0378400409310302,0.491726554934338,0.491726554928773,0.474311519133812,0.474311519102603,0.00814256349873547,0.0252126808723598,OK
9.45780577180782e-07,0.40607393863445,3.84056844059763e-07,4.48143840360439e-06,1.064e-06,0.59740440292935,34.2287509503846,0.141502091729804,0.831417418940545,0.972919510670349,0.027080489329651,1,1.2372877196906,0.910453956401266,0.32683376328933,32.7435960898381,24.0942637127709,8.64933237706725,0.970589985703066,0.240738612717034,-0.861632515764308,0.507532666709908,0.700034340242796,-0.714109181064656,0.142945409467672,0.857054590532328,-0.00144331773786799,-0.0256371715917828,0.48972830196442,0.489728301920134,0.492828254515468,0.492828254661326,0.0102022142428967,0.00671097238755007,OK
1.12806007193924e-06,0.587010369734705,6.62182959912012e-07,4.24631936235369e-06,1.064e-06,0.49111125044254,28.1386019217499,0.881474942355043,0.039018285356491,0.966570438752913,0.0334295612470859,0.999999999999999,1.33876891767852,1.10214438665155,0.236624531026967,33.5703999337596,27.6369038420755,5.93349609168406,0.834441876657024,-0.551095957598224,0.595132117658884,-0.803627875655674,-0.342605848417337,0.939479234805239,0.969739617402619,0.0302603825973807,-0.0882646750475763,0.00875790275911031,0.494175295756178,0.494175295776444,0.460766860782465,0.460766860692652,0.00556522552327012,0.0390251944905303,OK
8.11666429198303e-07,0.3791350558534,3.07731196968428e-07,3.21682492149805e-06,1.064e-06,0.714767275438907,40.9531482167142,0.917945727025224,0.014700319549342,0.932646046574566,0.0673539534254348,1,1.16932887402832,0.824851789734997,0.344477084293322,22.2127505176454,15.669011025356,6.54373949228945,-0.21979267401587,-0.975546605985051,0.038942393115308,-0.999241457315724,0.257616071323513,0.966247359528521,0.983123679764261,0.0168763202357395,-0.0651779527390368,-0.00217600068639754,0.493313795243666,0.493313795350869,0.497393838843408,0.497393838222752,0.00662331217069066,0.002401623200375,OK
1.20274630620726e-06,0.594728565924596,7.15307585861747e-07,3.84258891584511e-06,1.064e-06,0.458185001267067,26.2520668087992,0.562739763460211,0.315060953441929,0.968474025369201,0.0315259746307988,1,1.35134434322322,1.12852522407654,0.222819119146682,30.6639567770683,25.6078688355438,5.05608794152451,-0.683078687339682,0.730344786318282,0.457451923276193,0.889234354875537,-0.941514663021769,0.336972015625934,0.668486007812967,0.331513992187033,-0.105746244352756,-0.0164530387451037,0.493433379576389,0.493433379634535,0.449075692397886,0.449075692350768,0.0062511113955805,0.05067075583212,OK
8.01750391916018e-07,0.479335757149841,3.84307631154246e-07,5.27575363349585e-07,1.064e-06,0.725551532209775,41.5710406148703,0.715305728971032,0.224645928979088,0.93995165795012,0.06004834204988,1,1.2138481210065,0.881083210781362,0.332764910225133,3.78170020851431,2.74498308665463,1.03671712185968,-0.597281707256722,-0.802031521934454,0.386293314455763,-0.922375994487487,0.860737723626163,0.509048692294609,0.754524346147304,0.245475653852696,-0.0392186171762723,-0.0208297248736075,0.495772672844616,0.495772672796707,0.494082708235759,0.494082707855951,0.0041897682752523,0.00575886527450708,OK
6.70040905187797e-07,0.534105685357953,3.57872656883191e-07,8.50410239967518e-07,1.064e-06,0.917330213710521,52.5591496654467,0.359425532806722,0.562650613496799,0.922076146303521,0.0779238536964801,1,1.15130007306913,0.802007837275447,0.349292235793679,5.7816960100153,4.02759073958475,1.75410527043056,-0.480731987657628,0.876867581817657,-0.774546678929725,-0.632516752472956,0.983245909001077,-0.182284070704617,0.408857964647691,0.591142035352308,-0.0494324318409696,-0.0284914218555092,0.498413140489001,0.498413140331401,0.496448063892675,0.496448063157848,0.00154795259202083,0.00351623458797744,OK
9.7344444574406e-07,0.596987027460437,5.81133706062619e-07,1.1751203567495e-06,1.064e-06,0.578194671170395,33.1281143950181,0.391206188500253,0.575485379545356,0.966691568045609,0.033308431954392,1,1.309838144367,1.05749298655552,0.252345157811478,9.08946294765414,7.33834432905885,1.75111861859529,0.329066655190268,-0.9443066961755,0.869978650700925,0.493089390805154,0.983785941928669,-0.179346648877309,0.410326675561346,0.589673324438654,-0.0191204870610929,-0.0141879448932979,0.496636406586745,0.496636406575912,0.47874328036672,0.47874328030396,0.00318908982700195,0.0211727078527521,OK
1.05999725759723e-06,0.446948510871877,4.73764195811355e-07,4.12311868049715e-06,1.064e-06,0.525780330792258,30.1249939053887,0.661173598376821,0.30906795645006,0.970241554826881,0.0297584451731192,1,1.28543527966556,0.977894031634822,0.307541248030738,31.2978346240827,23.8098068149702,7.48802780911253,-0.11781762408651,0.993035249855014,-0.969439177835141,0.245331776332228,0.933782869180372,0.357840122436364,0.678920061218182,0.321079938781818,-0.0177464628413614,-0.0120119823317578,0.487648838038201,0.487648838039678,0.482195782780059,0.482195782918462,0.0122845524998369,0.0169978681661519,OK
1.2302247186066e-06,0.582751064823832,7.16914764740597e-07,8.49833908608093e-07,1.064e-06,0.447198600983656,25.6225924405184,0.660207327498242,0.223015804785284,0.972106739412326,0.0278932605876744,1,1.35262904380604,1.12715329527858,0.225475748527455,6.78814333959037,5.65659754910587,1.1315457904845,0.483770710935079,0.875194777887396,-0.586384148132086,0.810033104767582,0.905070635255513,0.425261266985582,0.712630633492791,0.287369366507209,-0.0524233059945485,-0.0643535617219246,0.492219511418437,0.492219511439064,0.444344398779145,0.444344398774867,0.00746043364255704,0.0552880255926759,OK
